instance;date_rencontre;no_decision;titre;no_dossier;instance_reference;no_appel_offres;nbr_soumissions;pour;texte_contrat;fournisseur;montant;type_contrat;huis_clos;source;date_traitement
Comité exécutif;2015-09-03;20.001;L'étude de ce dossier se fera à huis clos;;;;;;Ce dossier concerne l'autorisation du lancement d'un appel d'offres. En vertu du paragraphe 2 de l'article 8 du Règlement intérieur du comité exécutif relatif à la conduite de ses affaires (RCE 04-008), il sera traité à huis clos;;;;oui;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.002;L'étude de ce dossier se fera à huis clos;;;;;;Ce dossier concerne l'autorisation du lancement d'un appel d'offres. En vertu du paragraphe 2 de l'article 8 du Règlement intérieur du comité exécutif relatif à la conduite de ses affaires (RCE 04-008), il sera traité à huis clos;;;;oui;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.003;L'étude de ce dossier se fera à huis clos;;;;;;Ce dossier concerne l'autorisation du lancement d'un appel d'offres. En vertu du paragraphe 2 de l'article 8 du Règlement intérieur du comité exécutif relatif à la conduite de ses affaires (RCE 04-008), il sera traité à huis clos;;;;oui;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.004;Contrat de services professionnels;1156157001;Comité exécutif;;;Comité exécutif;Service de l'Espace pour la vie, Bureau marketing et communications - Accorder un contrat à les Publications BLD inc. pour l'achat d'espaces publicitaires pour les besoins du Service de l'Espace pour la vie - Dépense maximale de 42 500,51 $ taxes incluses - Contrat de gré à gré - Autoriser un budget additionnel de revenus et de dépenses de 25 323,24$ taxes incluses, équivalent à la valeur de l'échange entre Publications BLD inc. et le Service de l'Espace pour la vie - Approuver un projet de convention à cet effet;Publications BLD inc.;42500,51;Gré à gré;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.005;Contrat de services professionnels;1155138001;Conseil d'agglomération;;;Conseil d'agglomération;Service des ressources humaines, Direction dotation et gestion de la main-d'oeuvre - Autoriser une dépense additionnelle de 245 000 $ taxes incluses, ainsi que le virement du même montant en provenance des dépenses contingentes l'évaluation des compétences de gestion des candidats à des postes cadres, pour une période de 18 mois, dans le cadre du contrat à l'École nationale d'administration publique (CG14 0370), majorant ainsi le montant total du contrat de 743 000 $ à 988 000 $ taxes incluses imprévues d'administration, pour Compétence d'agglomération : Acte mixte;École nationale d'administration publique;245000,00;;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.006;Contrat de services professionnels;1153815003;Conseil municipal;;;Conseil municipal;Service de l'Espace pour la vie, Jardin Botanique - Accorder un contrat de services professionnels à Les Productions Facile pour la direction artistique de la programmation estivale du Jardin botanique intitulée Les arts s'invitent au Jardin (édition 2016) - Somme maximale de 183 960 $ taxes incluses - Contrat de gré à gré - Approuver un projet de convention à cette fin;Les Productions Facile;183960,00;Gré à gré;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.007;Entente;1153381001;Conseil municipal;;;Conseil municipal;Service de la diversité sociale et des sports - Approuver le projet d'accord de subvention entre le ministre de la Sécurité publique Canada (Centre national de prévention du crime (CNPC)) et la Ville de Montréal, par lequel une aide financière d'un montant maximal de 867 601,71 $ est octroyée à la Ville de Montréal pour la mise en Suvre du projet « Renforcer la capacité des municipalités pour une prévention efficace de la criminalité », pour la période du 1er octobre 2015 au 31 décembre 2018, dans le cadre du Fonds d'action en prévention du crime (FAPC);;867601,71;;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.008;L'étude de ce dossier se fera à huis clos;;;;;;Ce dossier requiert des vérifications additionnelles avant son approbation finale. En vertu du paragraphe 8 de l'article 8 du Règlement intérieur du comité exécutif relatif à la conduite de ses affaires (RCE 04-008), il sera traité à huis clos;;;;oui;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.009;Obligations contractuelles;1156896016;Comité exécutif;;;Comité exécutif;Service des infrastructures_voirie et transports, Direction des infrastructures - Libérer la Ville de Montréal des restrictions quant à ses titres sur les lots 2 244 000, 2 244 001, 2 244 002, 2 244 012 et 2 244 013 du cadastre du Québec situé au nord-ouest de l'avenue Pierre-De Coubertin, entre les avenues Mercier et Lebrun dans l'arrondissement de Mercier-Hochelaga- Maisonneuve. Article 193 de l'annexe C de la Charte.;;;;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.010;Subvention - Soutien financier avec convention;1151701013;Comité exécutif;;;Comité exécutif;Service des grands parcs_verdissement et du Mont-Royal - Accorder un soutien financier spécial non récurrent totalisant la somme de 5 000 $ sans taxes à l'organisme à but non lucratif Espace La Fontaine pour la réalisation d'une exposition Hommage à Bronwyn Chester et à ses arbres du parc La Fontaine / Approuver le projet de protocole d'entente à cet effet.;Espace La Fontaine;5000,00;;non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
Comité exécutif;2015-09-03;20.011;Autres affaires contractuelles;1151368011;Comité exécutif;;;Comité exécutif;Service de la gestion et de la planification immobilière - Approuver l'intervention de la Ville de Montréal à un projet d'acte de vente d'un immeuble avec bâtiments dessus érigés, situés au 600 boulevard De Maisonneuve Ouest, 1444 rue Union, 1445 rue University, 1333 rue University et 625 rue Sainte-Catherine Ouest, dans l'arrondissement de Ville-Marie, par Corporation immobilière Omers et 2073584 Ontario inc. à 600 de Maisonneuve Ltée, considérant qu'une partie des droits détenus par emphytéose dans cet immeuble appartient à la Ville.;;;('',);non;Ordre du jour présenté;http://ville.montreal.qc.ca/portal/page?_pageid=5798,85931607&_dad=portal&_schema=PORTAL;2015-08-28 20:20:11
